耐空証明に関する記述で誤りはどれか。,耐空証明は、国籍にかかわらず、いかなる航空機も受けることができる。,耐空証明は、航空機の用途及び国土交通省令で定める航空機の運用限界を指定して行う。,航空機は、有効な耐空証明を受けているものでなければ、航空の用に供してはならない。但し、試験飛行等を行うため国土交通大臣の許可を受けた場合は、この限りでない。,耐空証明の有効期間は、1年とする。但し、航空運送事業の用に供する航空機については、国土交通大臣が定める期間とする。,,1,201707,航空法規等,4,,
航空機の登録に関する説明で誤りはどれか。,新規登録とは、登録を受けていない航空機の登録をいう。,航空機の所有者の氏名又は名称の変更があった場合には変更登録を行う。,航空機の所有者の住所の変更があった場合には変更登録を行う。,航空機の定置場を変更した場合には移転登録を行う。,,4,201707,航空法規等,5,,
特定操縦技能の審査等に関する説明で誤りはどれか。,特定操縦技能の審査とは、航空機の操縦に従事するのに必要な知識及び能力であってその維持について確認することが特に必要であるものを有しているかどうかについて操縦技能審査員が行う審査である。,この審査に合格していなければ、航空機に乗り組んで、その操縦に従事することはできない。,この審査に合格し操縦を行うことができる期間は、国土交通大臣が許可した場合を除き2年である。,この審査のうち実技審査は、模擬飛行装置又は飛行訓練装置を使用して行うことははできない。,,4,201707,航空法規等,6,,
操縦士に係る技能証明の限定に関する記述で正しいものはどれか。,操縦士の技能証明があれば、航空機の種類は問わず機長として操縦ができる。,技能証明の限定事項が多発機であれば、単発機の機長としても操縦ができる。,技能証明の限定事項が水上機であれば、陸上機の機長としても操縦ができる。,実地試験に使用される航空機によって、操縦できる航空機の種類、等級が限定される。,,4,201707,航空法規等,7,,
技能証明を有していない者が、操縦教員の監督の下に操縦練習を行った場合に、飛行経歴は誰によって証明されなければならないか。,操縦練習の監督者,航空機の所有者,操縦練習を行った者,国土交通大臣,,1,201707,航空法規等,8,,
自家用操縦士の航空身体検査証明の有効期間について誤りはどれか。,交付日における年齢が25歳の場合、5年,交付日における年齢が45歳の場合、2年,交付日における年齢が55歳の場合、1年,交付日における年齢が65歳で、一人の操縦者でその操縦を行う場合、6月,,4,201707,航空法規等,9,,
航空法第59条(航空機に備え付ける書類)で定める航空機に備え付けなければならない書類に含まれないものはどれか。,航空日誌,発動機運転日誌,運用限界等指定書,航空機登録証明書,,2,201707,航空法規等,10,,
航空法第70条(酒精飲料等)による、酒精飲料又は麻酔剤その他の薬品を服用した後の航空業務の制限で正しいものはどれか。,呼気中アルコール濃度0.15mg/l以上の間は航空業務を行ってはならない。,酒精飲料等を飲んだ直後であっても、歩行困難や言語不明瞭でなければ航空業務を行ってもよい。,正常な運航ができないおそれのある間は航空業務を行ってはならない。,酒精飲料等を飲んだ後、12時間は航空業務を行ってはならない。,,3,201707,航空法規等,11,,
航空機に装備する救急用具の点検期間で誤りはどれか。,非常信号灯、携帯灯及び防水携帯灯        : 60日,救命胴衣、これに相当する救急用具及び救命ボート : 180日,救急箱                     : 60日,航空機用救命無線機               : 24月,,4,201707,航空法規等,12,,
航空法第76条(報告の義務)に基づき、機長が国土交通省令で定めるところにより国土交通大臣にその旨を報告しなければならない内容で誤りはどれか。,航空機の墜落、衝突又は火災,航空機による人の死傷又は物件の損壊,航空機内に持ち込んだ動物の死,他の航空機との接触,,3,201707,航空法規等,13,,
航空法第71条の2(操縦者の見張り義務)で正しいものはどれか。,国土交通大臣の指示に従っている航行の場合は見張りの義務はない。,雲が多いところを飛行中は見張りの義務はない。,夜間飛行中は見張りの義務はない。,当該航空機外の物件を視認できない気象状態の下にある場合を除き、他の航空機その他の物件と衝突しないように見張りをしなければならない。,,4,201707,航空法規等,14,,
高度900m以下の航空交通管制圏をピストン発動機を装備する航空機で航行するときの速度の制限で正しいものはどれか。ただし国土交通大臣の許可を受けた場合を除く。,指示対気速度150kt,指示対気速度160kt,指示対気速度170kt,指示対気速度180kt,,2,201707,航空法規等,15,,
進路権に関する記述で誤りはどれか。,正面又はこれに近い角度で接近する飛行中の同順位の航空機相互間にあつては、互に進路を右に変えなければならない。,飛行中の同順位の航空機相互間にあつては、他の航空機を左側に見る航空機が進路を譲らなければならない。,前方に飛行中の航空機を他の航空機が追い越そうとする場合(上昇又は降下による追越を含む。)には、後者は、前者の右側を通過しなければならない。,進路権を有する航空機は、その進路及び速度を維持しなければならない。,,2,201707,航空法規等,16,,
空港等付近の航行方法において正しいものはどれか。,他の航空機に続いて離陸しようとする際、その航空機が離陸して滑走路中央付近を通過したため、離陸のための滑走を開始した。,他の航空機に続いて離陸しようとする際、その航空機が離陸して着陸帯の末端を通過したため、離陸のための滑走を開始した。,着陸する他の航空機に続いて離陸しようとする際、その航空機が着陸して滑走路の外に出る様子だったため、離陸のための滑走を開始した。,着陸する他の航空機に続いて離陸しようとする際、その航空機が着陸して滑走路末端まで移動し十分な間隔があったため、離陸のための滑走を開始した。,,2,201707,航空法規等,17,,
航空法施行規則第203条第1項に定める有視界飛行方式に係る飛行計画により明らかにしなければならない事項で正しいものはどれか。,出発地及び離陸予定時刻,使用する無線設備,巡航高度における予想対地速度,持久時間で表された消費燃料量,,2,201707,航空法規等,18,,
航空機が空港等内において地上を移動する場合の基準で誤りはどれか。,他の航空機の妨げにならないように、できる限り速い速度で移動すること。,前方を十分に監視すること。,動力装置を制御すること又は制動装置を軽度に使用することにより、速やかに且つ安全に停止することができる速度であること。,航空機その他の物件と衝突のおそれのある場合は、地上誘導員を配置すること。,,1,201707,航空法規等,19,,
航空法第75条で定める、機長が、航空機の航行中、その航空機に急迫した危難が生じた場合にとらなければならない措置で正しいものはどれか。,国土交通省令で定めるところにより、国土交通大臣にその旨を報告しなければならない。,最寄りの航空交通管制機関に連絡しなければならない。,国土交通大臣が航空交通の安全を考慮して与える指示に従つて航行しなければならない。,旅客の救助及び地上又は水上の人又は物件に対する危難の防止に必要な手段を尽くさなければならない。,,4,201707,航空法規等,20,,
時刻に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,1,201707,空中航法,1,(a)日本標準時に9時間を加えると協定世界時となる。 (b)明石市を通る子午線130°Eの地方平時を日本標準時としている。,
真針路について正しいものはどれか。,航空機が飛行した航跡と、その航空機の位置を通る子午線とのなす角をいう。,羅針路に偏差を加えたものをいう。,航空機の機首の向いている方向で、磁北からの角度である。,子午線と航空機の機首尾線のなす角を真方位で表したものである。,,4,201707,空中航法,2,,
縮尺50万分の1の航空図において10cmの距離は実際には何nmにあたるか。,約10 nm,約21 nm,約27 nm,約33 nm,,3,201707,空中航法,3,,
CH223°で飛行しているとき、MHの値で正しいものはどれか。偏差は7°W、自差は3°Eとする。,213°,220°,226°,233°,,3,201707,空中航法,4,,
次の換算値で誤りはどれか。,"1(海)マイルは約6,076 フィートである。",1キログラムは約2.2 ポンドである。,1(米)ガロンは約0.25 リットルである。,1キロメートルは約0.54(海)マイルである。,,3,201707,空中航法,5,,
次の燃料消費量のうち最も少ないものはどれか。,単位時間あたりの燃料消費が15 gal/h のときの45分間の燃料消費量,単位時間あたりの燃料消費が27 gal/h のときの20分間の燃料消費量,単位時間あたりの燃料消費が10 gal/h のときの50分間の燃料消費量,単位時間あたりの燃料消費が18 gal/h のときの25分間の燃料消費量,,4,201707,空中航法,6,,
飛行場管制業務が実施されている空港等において、VFRにて管制圏に進入しようと するときに、目視位置通報点上空で管制機関に通報する内容で航空路誌に定められ ていないものはどれか。,現在位置,速度,高度,機長の意向,,2,201707,空中航法,7,,
計器高度と真高度に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,1,201707,空中航法,8,(a)QNHセッティング一定で巡航中に気温の高い空域に入ると真高度は低くなる。 (b)QNHセッティング一定で巡航中に気圧の低い空域に入ると真高度は高くなる。,
A点からB点に向けて飛行中、B点で右に1 nm偏位していた。AB間の距離を30 nmとするとコースからの偏位角に最も近いものはどれか。,2度,3度,4度,6度,,1,201707,空中航法,9,,
ある飛行場から出発するときに入手したQNH「29.72」に対し、誤って「29.92」 を気圧高度計にセットした。出発地の標高が250 ftのとき、気圧高度計の示す値に もっとも近いものはどれか。,50 ft,250 ft,450 ft,650 ft,,3,201707,空中航法,10,,
航空図について誤りはどれか。,メルカトル航空図では、赤道と子午線以外の大圏は、赤道から遠ざかる曲線になる。,メルカトル航空図では、子午線が平行で航程線は直線である。,ランバート航空図では、大圏はほぼ直線で、最短距離に近いコースが得られる。,ランバート航空図では、航程線が極に引きつけられる曲線になる。,,4,201707,空中航法,11,,
次の図面記号(a)、(b)の意味について、その組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,特別管制区　義務位置通報点,特別管制区　非義務位置通報点,飛行制限区域　義務位置通報点,飛行制限区域　非義務位置通報点,,4,201707,空中航法,12,,
磁針路270度で飛行中、C駅が10時半の方角に見えた。このときの自機の位置として正しいものはどれか。,C駅の北西,C駅の西,C駅の北東,C駅の東,,3,201707,空中航法,13,,
"対地高度3,000 ftを飛行中、チェックポイントを「真横右下45度」に発見した。このときの機体からチェックポイントまでの水平距離で正しいものはどれか。",約0.5 nm,約1.0 nm,約1.5 nm,約2.0 nm,,1,201707,空中航法,14,,
VORのラジアルの説明で正しいものはどれか。,VOR局への磁方位である。,VOR局からの磁方位である。,VOR局からの真方位である。,VOR局への真方位である。,,2,201707,空中航法,15,,
空中衝突に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,3,201707,空中航法,16,(a)両機が直線飛行を行っており、相手機が衝突コース上にあるときは、相手機 が進路と速度を維持するかぎり自機の針路を変えるだけで衝突を回避する ことができる。(b)相手機が衝突コース上にあるときは、相手機を発見しやすい。,
空間識失調について誤りはどれか。,夜間や悪天候、また平坦で構造物のない場所を飛行する場合には、手掛かりが少なく漠然とした誤った視覚的情報により飛行するため空間識失調に陥る危険性が大きい。,夜間、悪天候さらに雲中など計器気象状態で正確な視覚的手掛かりがない場合は、前庭器官からの情報が優勢となり誤った空間識情報が入りやすい。,疲労と空間識失調は関連性はない。,飛行中の錯覚に基づく空間識失調は、信頼できる地上の固定物標または飛行計器を確実に視認することによってのみ防止することができる。,,3,201707,空中航法,17,,
飛行中の一酸化炭素中毒に関する記述で誤りはどれか。,頭痛、眠気、めまいなどの症状が現れる。,一酸化炭素はごくわずかの量でも、ある時間吸うと血液中の窒素濃度を増大させ中毒症状を起こす。,一酸化炭素は無色、無味、無臭である。,発動機の排気ガス中には一酸化炭素が含まれている。,,2,201707,空中航法,18,,
視覚と明暗に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,4,201707,空中航法,19,(a)暗闇では視覚は明るさに対して鋭敏となる。これを暗順応性という。 (b)暗順応を得るためには真暗闇の中では少なくとも30分を要する。,
TEM(スレット・アンド・エラー・マネージメント)に関する記述(a)、(b) について、その正誤の組み合わせとして正しいものはどれか。 (1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,3,201707,空中航法,20,(a)スレットとは、乗員が関与しないところで発生し、運航をさらに複雑にし、 安全マージンを維持するために、乗員に注意や対処を要求するもの。 (b)スレットには機器の故障、複雑な地形などがあるが、悪天候は含まれない。,
管制方式基準で定める航空交通業務の定義で正しいものはどれか。,飛行援助業務,飛行情報業務,管制通信業務,捜索救難業務,,2,201803,航空通信,1,,
捜索救難の発動基準「不確実の段階」について正しいものはどれか。,航空機が困難な状況に遭遇しているとの情報を受けた場合,位置通報が予定時刻から15分過ぎてもない場合,当該航空機の搭載燃料が枯渇したかまたは安全に到着するには不十分であると認められる場合,飛行計画が通報されていない場合で、目的飛行場以外に着陸したとき,,1,201803,航空通信,2,,
救難調整本部(RCC)の設置場所について、正しいものはどれか。,国土交通省航空局  救難調整本部,東京航空交通管制部  救難調整本部,東京空港事務所  東京救難調整本部,航空交通管理センター 福岡救難調整本部,,3,201803,航空通信,3,,
有視界飛行方式における通信機故障の対処について誤りはどれか。,受信機のみの故障が考えられるので一方送信を行う。,VMCを維持して安全に着陸できる最寄りの飛行場に着陸する。,周波数切り換え直後であれば前の周波数に戻す。,トランスポンダーを7500にセットする。,,4,201803,航空通信,4,,
航空情報用略語の意義で誤りはどれか。,PPR:事前承認を要する,UFN:次に通報するまで,AFM:そのとおり,UNA:承認できません,,4,201803,航空通信,5,,
航空情報サーキュラー(AIC)の説明で誤りはどれか。,情報の性質又は時期的な理由から航空路誌への掲載又はノータムの発行に適さない航空情報が記載される。,法律、規則、方式又は施設に関する大幅な変更についての長期的予報が記載される。,直ちに周知しなければならない重要なAICはチェックリストに赤線が付される。,チェックリストは年1回発行される。,,3,201803,航空通信,6,,
有視界飛行方式の飛行計画の通報について誤りはどれか。,空港事務所等に通報する。,電話を通じて口頭により提出することはできない。,離陸しようとする場外離着陸場において飛行計画を通報する手段のない場合は、飛行を開始した後に出発地を中心として半径9km以内の範囲において速やかに通報する。,SATサービスに登録すれば、インターネットを通じてファイルできる。,,2,201803,航空通信,7,,
飛行計画の作成について正しいものはどれか。,VFRで出発し途中で飛行方式を変更する場合は、第8項「飛行方式および飛行の種類」に「Y」を記入する。,「飛行の種類」で「その他」の種類は「Z」を記入する。,"最大離陸重量が7,000kgの航空機は「後方乱気流区分」に「L」を記入する。",「航空機識別」のコールサインは3文字から7文字以内の英数字であらわし、[/]、「.」、「-」は使用しない。,,3,201803,航空通信,8,,
次の通信のうち優先順位が最も高いものはどれか。,方向探知に関する通信,航行援助に関する通信,航空交通管制に関する通信,航空機の運航に関する通信,,1,201803,航空通信,9,,
無線電話通信により管制機関等から受領した内容のうち、復唱しなければならない項目で誤りはどれか。ただし、管制機関から応答しないように指示された場合を除く。,離陸許可,着陸許可,滑走路の横断許可,風向風速,,4,201803,航空通信,10,,
高度計規正方式について誤りはどれか。,離陸前にタワーから提供されたQNHの値をセットした。,宮崎空港の管制圏を通過するため宮崎空港のQNHをセットした。,瀬戸内海の海面上を飛行するのでQFEをセットした。,"平均海面上14,000フィートを飛行するのでQNEをセットした。",,3,201803,航空通信,11,,
受信の感明度の組み合わせで誤りはどれか。,1:聞き取れない。,2:時々聞き取れる。,3:困難だが聞き取れる。,4:完全に聞き取れる。,,4,201803,航空通信,12,,
通信の一般用語「CORRECTION」の意義で、正しいものはどれか。,あなたの送ったことは正しい。,送信に誤りがありました。正しくは......です。,ちがいます。,送信した通報は取り消して下さい。,,2,201803,航空通信,13,,
オプションアプローチについて誤りはどれか。,オプションアプローチの許可に「タッチアンドゴー」は含まれる。,オプションアプローチの許可に「ストップアンドゴー」は含まれる。,オプションアプローチの許可に「着陸」は含まれる。,オプションアプローチの許可に「着陸」は含まれる。,,4,201803,航空通信,14,,
飛行中の航空機に対して「着陸してはならない」を意味する指向信号灯の合図はどれか。,赤色と緑色の交互閃光,赤色の閃光,赤色の不動光,白色の閃光,,2,201803,航空通信,15,,
受信証の発出要領で誤りはどれか。,自局のコールサイン,自局のコールサイン,「ROGER」の用語,自局のコールサイン及び「ROGER」の用語,,3,201803,航空通信,16,,
管制圏内における特別有視界飛行方式について誤りはどれか。,空港等が有視界気象状態であっても飛行中、有視界気象状態が維持できない場合で特別有視界飛行方式の基準を満たすときは操縦者からの要求により特別有視界飛行方式の許可が発出される。,雲から離れて飛行しなければならない。,"飛行視程1,000m以上を維持して飛行しなければならない。",地表または水面を引き続き視認できる状態で飛行しなければならない。,,3,201803,航空通信,17,,
トランスポンダーの操作要領で誤りはどれか。,マルチラテレーション運用がされている飛行場を除きトランスポンダーは離陸前に作動させ、着陸後はできるだけ早く停止させる。,緊急状態に陥った場合は7700にセットする。,ハイジャックされた場合は7500にセットする。,"VFRにより10,000ft未満で飛行する場合は1100にセットする。",,4,201803,航空通信,18,,
要撃を受けた際の対応について誤りはどれか。,要撃機の視覚信号を理解し応答することによって要撃機の指示に従う。,トランスポンダーを7500にセットする。,可能ならば、適切な航空交通業務機関に通報する。,緊急周波数121.5MHzにより呼び出しを行う。,,2,201803,航空通信,19,,
管制上の優先取り扱いを受けられる場合で誤りはどれか。,「MAYDAY」又は「PAN-PAN」を通報した場合,航空機が残存燃料について緊急状態である旨を通報した場合,火災を発見し場所を特定したい旨を通報した場合,航空機が火山灰雲に入った旨を通報した場合,,3,201803,航空通信,20,,
対流圏における大気について正しいものはどれか。,対流圏内の上層は太陽に近いため下層より気温が高い。,対流圏内では高度が上がると気圧も上昇する(大きい値になる)。,対流圏内では高度が上がると空気密度も上昇する(大きい値になる)。,対流圏内に存在する水蒸気は雲や雨など天気に密接な関係がある。,,4,201803,航空気象,1,,
国際標準大気の気象諸元で誤りはどれか。,完全な乾燥気体である。,平均海面高度での気圧は1013.250hPaである。,平均海面高度での気温は15°Cである。,気温は、0~11km上空までは6.5°C/kmで上昇する。,,4,201803,航空気象,2,,
太陽から地球へのエネルギーの伝達方法で正しいものはどれか。,伝導,対流,放射,反射,,3,201803,航空気象,3,,
気温の日変化について正しいものはどれか。,正午に最高となり、日没の少し後に最低となる。,日変化の気温幅は季節の変化には影響を受けない。,最低気温と最高気温の差は、岩石や裸地の地面近くよりも水深の深い水面上の方が大きい。,"1,500m以上の高度では昼夜の気温差はほとんどない。",,4,201803,航空気象,4,,
水分の変化において気体から液体に変化するときに放出する熱量で正しいものはどれか。,気化熱,融解熱,凝結熱,昇華熱,,3,201803,航空気象,5,,
露点温度について記述した以下の文中、(A)に入る適切な用語で正しいものはどれか。,露を結びはじめる。,霜ができはじめる。,氷の結晶ができはじめる。,水蒸気量がゼロになる。,,1,201803,航空気象,6,露点温度とは「一定気圧の空気の温度を下げたとき、その空気が飽和に達して(A) ときの温度である。」,
霧が発生しやすい一般的な条件で誤りはどれか。,風速は弱いが静穏ではないこと,地表面が冷たいこと,気団の型は、下層で湿度の高いこと,気温と露点温度が離れていること,,4,201803,航空気象,7,,
風は地球の表面に対する空気の動きであり、この空気を動かす力として正しいものはどれか。,表面張力,気圧傾度力,風力,弾性力,,2,201803,航空気象,8,,
北半球での低気圧周りの風向について正しいものはどれか。,反時計回りに吹き出す。,反時計回りに吹き込む。,時計回りに吹き出す。,時計回りに吹き込む。,,2,201803,航空気象,9,,
寒気団についての説明で誤りはどれか。,気流は滑らかで、視程は良い。,天気は、しゅう雨、雷雨である。,安定度は不安定気温減率である。,雲形は積雲形である。,,1,201803,航空気象,10,,
前線のもつ一般的性質について誤りはどれか。,前線は気圧の低い谷の中に存在することが多い。,前線を境にして風向と風速は変化しない。,前線を境にして気温差がある。,前線の速度は寒気内の風速とほぼ一致する。,,2,201803,航空気象,11,,
ある前線を図式化したものである。正しいものはどれか。,停滞前線,閉塞前線,寒冷前線,温暖前線,,4,201803,航空気象,12,,TRUE
日本列島に影響する二つ玉低気圧について誤りはどれか。,日本付近で発達する温帯低気圧である。,南岸低気圧と日本海低気圧の特徴も併せ持つ。,雲と降水の範囲が広い。,一つにまとまり急激に減衰することがある。,,4,201803,航空気象,13,,
ダウンバーストについて誤りはどれか。,積乱雲や局地的な雄大積雲の下で起こる下降気流が地表付近まで降下し、爆発的に発散して強い風の吹き出しを起こす破壊的な下降気流である。,ダウンバーストは、マクロバーストとマイクロバーストに分類される。,ダウンバーストは、極めて激しい現象の一つで、強風が直線または曲線状に吹き、必ず強雨を伴う。,水平規模は1km以下から数10kmまでさまざまである。,,3,201803,航空気象,14,,
もや(mist)について誤りはどれか。,定時飛行場実況気象通報式(METAR)ではBRで報じられる。,"視程障害現象の一つで、視程1,000m以上5,000m以下の場合をいう。",ごく小さな水滴または湿った吸湿性の粒子が大気中に浮遊している現象である。,肉眼では見えないごく小さな乾いた粒子が大気中に浮遊している現象である。,,4,201803,航空気象,15,,
10 ktの風速はおおよそ毎秒何メートルか。, 5 m/s,10 m/s,20 m/s,40 m/s,,1,201803,航空気象,16,,
地上天気図において、低気圧を示す記号で正しいものはどれか。, H, L,TD,TS,,2,201803,航空気象,17,,
右の地上天気図における解析時刻で正しいものはどれか。ただし日本の日時とする。,12日21時00分,12日12時00分,12日09時00分,12日03時00分,,1,201803,航空気象,18,,TRUE
地上天気図に使用される海上警報「SW」で正しいものはどれか。,一般警報,強風警報,暴風警報,台風警報,,3,201803,航空気象,19,,
850hPa天気図の説明で誤りはどれか。,対流圏の中間層にあたり、大気の流れを知るために最適である。,この高さの湿った暖気移流は雨の予報に利用される。,山岳地帯を除けば気象要素は下層大気の代表的な値を示す。,前線系の解析に最適である。,,1,201803,航空気象,20,,
航空機が受ける荷重のうち、誤りはどれか。,引張り,圧縮,膨張,せん断,,3,201803,構造,1,,
各種構造についての説明のうち、誤りはどれか。,トラス構造は、プラット・トラスとワーレン・トラスの2種類がある。,応力外皮構造は、外板にも荷重を分担するように作られた構造である。,サンドイッチ構造の芯材は、強く密度の高い形状に加工されたものが用いられる。,セミモノコック構造の構造外皮は、ねじれやせん断応力の大部分を受け持つ。,,3,201803,構造,2,,
材料の疲れ限度を上昇させる要素について誤りはどれか。,高周波焼入れ,浸炭処理,浸炭処理,メッキ処理,,4,201803,構造,3,,
耐空性審査要領の定義で誤りはどれか。,「設計最大重量」とは、構造設計において滑走時の荷重を求めるために用いる最大航空機重量をいう。,「設計最小重量」とは、構造設計において飛行荷重を求めるために用いる最小航空機重量をいう。,「設計離陸重量」とは、構造設計において地上滑走及び小さい降下率での着陸に対する荷重を求めるために用いる最大航空機重量をいう。,「設計着陸重量」とは、構造設計において最大降下率での 着陸荷重を求めるために用いる最大航空機重量をいう。,,1,201803,構造,4,,
オートブレーキの解除で誤りはどれか。,スロットル・レバーを出力増加方向に動かしたとき,主翼にあるスピード・ブレーキを立ち上がらせているレバーを収納位置に戻したとき,ブレーキ・ペダルを踏んだとき,操縦桿を引いたとき,,4,201803,構造,5,,
高揚力装置について誤りはどれか。,小型機では人力や電動を用い、機械的リンクで作動させるものもある。,クルーガ・フラップは、前縁フラップの一種である。,非対称状態になると危険なため、これを防ぐ工夫がなされている。,リーディング・エッジ・フラップは、単独で使用される。,,4,201803,構造,6,,
チタニウム合金の一般的性質について誤りはどれか。,非磁性体で、磁石はくっつかない。,比強度が大きい。,耐熱性は一般的なアルミ合金より良好である。,耐食性は一般的なアルミ合金より劣る。,,4,201803,構造,7,,
飛行機の姿勢の制御を行う主操縦翼面で誤りはどれか。,ステアリング,エレベータ,エルロン,ラダー,,1,201803,構造,8,,
飛行機の構造について誤りはどれか。,翼上面についているスポイラは、スピード・ブレーキとして使用される場合がある。,飛行機のブレーキは左右の方向舵ペダルの上方を踏むことにより作動する。,警報灯(直ちに修正を要する緊急状態を示す灯火)は「こはく色」を用いることになっている。,大型機では、水平安定板の内部に燃料タンクを装備する場合がある。,,3,201803,構造,9,,
前輪式着陸装置の利点について誤りはどれか。,高速でブレーキを強く働かせても前方にのめって機首が接地するノーズ・オーバを起こさない。,地上滑走や着陸の際、パイロットの視界が良い。,メイン・ギア(主脚)よりも重心が前にある為、飛行機が移動すると機首をまっすぐに保つ働きがあり、グラウンド・ループを起こしにくい。,地上滑走中にシミー現象が発生しない。,,4,201803,構造,10,,
航空法第2条(定義)で定める「航空機」について誤りはどれか。,人が乗って航空の用に供することができる飛行機,人が乗って航空の用に供することができる回転翼航空機,人が乗って航空の用に供することができる滑空機,人が乗って航空の用に供することができる熱気球,,4,201803,航空法規等,1,,
航空法第2条(定義)で誤りはどれか。,「航空交通情報区」とは、航空交通管制区が設定された空域以外の空域であつて、航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通管制区」とは、地表又は水面から200m以上の高さの空域であつて、航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通管制圏」とは、航空機の離陸及び着陸が頻繁に実施される国土交通大 臣が告示で指定する空港等並びにその付近の上空の空域であつて、空港等及びそ の上空における航空交通の安全のために国土交通大臣が告示で指定するものをいう。,「航空交通情報圏」とは、航空交通管制圏が設定された空港等以外の国土交通大臣が告示で指定する空港等及びその付近の上空の空域であつて、空港等及びその上空における航空交通の安全のために国土交通大臣が告示で指定するものをいう。,,1,201803,航空法規等,2,,
有視界気象状態の条件で正しいものはどれか。,"3,000m以上の高度で飛行する場合の飛行視程は、5,000m以上であること。","3,000m未満の高度で管制区、管制圏又は情報圏を飛行する場合の飛行視程は、8,000m以上であること。","3,000m未満の高度で管制区、管制圏及び情報圏以外を飛行する場合の飛行視程は、1,500m以上であること。","管制圏又は情報圏内にある空港等において、離陸し、又は着陸しようとする場合の地上視程は、3,000m以上であること。",,3,201803,航空法規等,3,,
操縦士に係る技能証明の限定に関する記述で正しいものはどれか。,実地試験に使用される航空機によって、操縦できる航空機の種類、等級が限定される。,操縦士の技能証明があれば、航空機の種類は問わず機長として操縦ができる。,技能証明の限定事項が多発機であれば、単発機の機長としても操縦ができる。,技能証明の限定事項が水上機であれば、陸上機の機長としても操縦ができる。,,1,201803,航空法規等,4,,
航空法第28条(業務範囲)で定める自家用操縦士の業務範囲で正しいものはどれか。,航空運送事業の用に供する航空機の操縦を行うこと。,航空機使用事業の用に供する航空機の操縦を行うこと。,報酬を受けないで、無償の運航を行う航空機の操縦を行うこと。,報酬を受けて、無償の運航を行う航空機の操縦を行うこと。,,3,201803,航空法規等,5,,
技能証明等の取り消しの適用について誤りはどれか。,航空法に違反したとき。,航空法に基づく処分に違反したとき。,航空従事者としての職務を行うに当り、非行又は重大な過失があったとき。,操縦練習許可書で飛行する者には取り消しの適用はされない。,,4,201803,航空法規等,6,,
航空法施行規則第61条の2(身体検査基準及び航空身体検査証明書)に定める自家用操縦士の身体検査基準について正しいものはどれか。,第1種身体検査基準,第2種身体検査基準,第2種身体検査基準,身体検査基準については定められていない。,,2,201803,航空法規等,7,,
航空法第58条(航空日誌)に関して国土交通省令で定める搭載用航空日誌に記載すべき事項のうち航行に関する記録で誤りはどれか。,航行目的又は便名,使用者の氏名及び業務,出発地及び出発時刻,航空機の航行の安全に影響のある事項,,2,201803,航空法規等,8,,
航空法第59条で定める「その他国土交通省令で定める航空の安全のために必要な書類」について誤りはどれか。,トレーニング・マニュアル,運用限界等指定書,飛行規程,飛行の区間、飛行の方式その他飛行の特性に応じて適切な航空図,,1,201803,航空法規等,9,,
航空機に装備する救急用具の点検期間で誤りはどれか。,非常信号灯、携帯灯及び防水携帯灯        : 60日,救急箱                     : 60日,非常食糧                    : 120日,救命胴衣、これに相当する救急用具及び救命ボート : 180日,,3,201803,航空法規等,10,,
航空法第70条(酒精飲料等)による、酒精飲料又は麻酔剤その他の薬品を服用した後の航空業務の制限で正しいものはどれか。,正常な運航ができないおそれがある間は、航空業務を行ってはならない。,酒精飲料等を飲んだ直後であっても、歩行困難や言語不明瞭でなければ航空業務を行ってもよい。,呼気中アルコール濃度0.15mg/l以上の間は航空業務を行ってはならない。,酒精飲料等を飲んだ後、12時間は航空業務を行ってはならない。,,1,201803,航空法規等,11,,
航空法第71条の2(操縦者の見張り義務)で正しいものはどれか。,国土交通大臣の指示に従っている航行の場合は見張りの義務はない。,雲が多いところを飛行中は見張りの義務はない。,夜間飛行中は見張りの義務はない。,当該航空機外の物件を視認できない気象状態の下にある場合を除き、他の航空機その他の物件と衝突しないように見張りをしなければならない。,,4,201803,航空法規等,12,,
特定操縦技能の審査等に関する説明で誤りはどれか。,特定操縦技能の審査とは、航空機の操縦に従事するのに必要な知識及び能力であってその維持について確認することが特に必要であるものを有しているかどうかについて操縦技能審査員が行う審査である。,航空機の種類ごとに、通常の離陸及び着陸のみの審査を行う。,この審査に合格し操縦を行うことができる期間は、国土交通大臣がやむを得ない事由があると認めて許可した場合を除き2年である。,この審査のうち実技審査は、その全部又は一部を模擬飛行装置又は飛行訓練装置を使用して行うことができる。,,2,201803,航空法規等,13,,
